supp,len,num,avg
0,5315,1711,2.10
.05,974,420,1.31
.10,283,117,1.41
.15,159,68,1.33
.20,138,61,1.26
.25,101,45,1.24
.30,71,31,1.29
.35,59,25,1.36
.40,48,20,1.40
.45,40,18,1.22
.50,38,17,1.23
.55,34,15,1.26
.60,32,14,1.28
.65,28,12,1.33
.70,20,8,1.50
.75,20,8,1.50
.80,20,8,1.50
.85,20,8,1.50
.90,16,6,1.66
.95,16,6,1.66
1.00,12,4,2.00
1.05,12,4,2.00
1.10,12,4,2.00
1.15,12,4,2.00
1.20,12,5,1.40
1.25,12,5,1.40
1.30,12,5,1.40
1.35,12,5,1.40
1.40,10,4,1.50
1.45,10,4,1.50
1.50,12,6,1.00
1.55,12,6,1.00
1.60,12,6,1.00
1.65,8,4,1.00
1.70,8,4,1.00
1.75,8,4,1.00
1.80,8,4,1.00
1.85,8,4,1.00
1.90,8,4,1.00
1.95,8,4,1.00
2.00,8,4,1.00
2.05,8,4,1.00
2.10,8,4,1.00
2.15,8,4,1.00
2.20,8,4,1.00
2.25,8,4,1.00
2.30,8,4,1.00
2.35,8,4,1.00
2.40,8,4,1.00
2.45,8,4,1.00
2.50,8,4,1.00
2.55,8,4,1.00
2.60,8,4,1.00
2.65,8,4,1.00
2.70,8,4,1.00
2.75,8,4,1.00
2.80,8,4,1.00
2.85,8,4,1.00
2.90,8,4,1.00
2.95,8,4,1.00
3.00,6,3,1.00
3.05,6,3,1.00
3.10,6,3,1.00
3.15,4,2,1.00
3.20,4,2,1.00
3.25,4,2,1.00
3.30,4,2,1.00
3.35,4,2,1.00
3.40,4,2,1.00
3.45,4,2,1.00
3.50,4,2,1.00
3.55,4,2,1.00
3.60,4,2,1.00
3.65,4,2,1.00
3.70,4,2,1.00
3.75,4,2,1.00
3.80,4,2,1.00
3.85,4,2,1.00
3.90,4,2,1.00
3.95,4,2,1.00
4.00,4,2,1.00
4.05,2,1,1.00
4.10,2,1,1.00
4.15,2,1,1.00
4.20,2,1,1.00
4.25,2,1,1.00
4.30,2,1,1.00
4.35,2,1,1.00
4.40,2,1,1.00
4.45,2,1,1.00
4.50,2,1,1.00
4.55,2,1,1.00
4.60,2,1,1.00
4.65,2,1,1.00
4.70,2,1,1.00
4.75,2,1,1.00
4.80,2,1,1.00
4.85,2,1,1.00
4.90,2,1,1.00
4.95,2,1,1.00
5.00,2,1,1.00
5.05,2,1,1.00
5.10,2,1,1.00
5.15,2,1,1.00
5.20,2,1,1.00
5.25,2,1,1.00
5.30,2,1,1.00
5.35,2,1,1.00
5.40,2,1,1.00
5.45,2,1,1.00
5.50,2,1,1.00
5.55,2,1,1.00
