support,total,avgnum
0,83128,1889.27
.01,83128,1889.27
.02,83128,1889.27
.03,36078,801.73
.04,22281,495.13
.05,20407,453.48
.06,12005,266.77
.07,10204,226.75
.08,9001,200.02
.09,6864,152.53
.10,6175,137.22
.15,3644,80.97
.20,2669,59.31
.25,1974,43.86
.30,1496,33.24
.35,1236,27.46
.40,1038,23.06
.45,860,19.11
.50,732,16.26
.55,631,14.02
.60,533,11.84
.65,451,10.02
.70,394,8.75
.75,353,7.84
.80,321,7.13
.85,297,6.60
.90,271,6.02
.95,245,5.44
1.00,222,4.93
1.05,203,4.51
1.10,182,4.04
1.15,169,3.75
1.20,161,3.57
1.25,154,3.42
1.30,137,3.04
1.35,126,2.80
1.40,117,2.60
1.45,111,2.46
1.50,105,2.33
1.55,101,2.24
1.60,98,2.17
1.65,93,2.06
1.70,86,1.91
1.75,84,1.86
1.80,82,1.82
1.85,82,1.82
1.90,77,1.71
1.95,76,1.68
2.00,75,1.66
2.05,74,1.64
2.10,71,1.57
2.15,67,1.48
2.20,65,1.44
2.25,61,1.35
2.30,61,1.35
2.35,55,1.22
2.40,51,1.13
2.45,49,1.08
2.50,46,1.02
2.55,41,.91
2.60,38,.84
2.65,35,.77
2.70,33,.73
2.75,30,.66
2.80,29,.64
2.85,25,.55
2.90,22,.48
2.95,22,.48
3.00,19,.42
3.05,18,.40
3.10,17,.37
3.15,15,.33
3.20,14,.31
3.25,14,.31
3.30,14,.31
3.35,14,.31
3.40,14,.31
3.45,14,.31
3.50,14,.31
3.55,13,.28
3.60,12,.26
3.65,11,.24
3.70,11,.24
3.75,11,.24
3.80,11,.24
3.85,10,.22
3.90,10,.22
3.95,8,.17
4.00,8,.17
4.05,7,.15
4.10,7,.15
4.15,7,.15
4.20,7,.15
4.25,6,.13
4.30,6,.13
4.35,5,.11
4.40,5,.11
4.45,4,.08
4.50,2,.04
4.55,2,.04
4.60,2,.04
4.65,2,.04
4.70,2,.04
4.75,2,.04
4.80,1,.02
4.85,1,.02
4.90,1,.02
4.95,1,.02
5.00,1,.02
5.05,1,.02
5.10,1,.02
5.15,1,.02
5.20,1,.02
5.25,1,.02
5.30,1,.02
5.35,1,.02
5.40,1,.02
5.45,1,.02
5.50,1,.02
5.55,1,.02
5.60,0,.00
